label,plant_name,disease,reason,solution,symptoms,medicine
green_onion__rust,파,파녹병,"파 녹병은 곰팡이인 Puccinia allii-cepulae에 의해 발생하는 병해입니다. 이 곰팡이는 파의 잎에만 발생하며, 잎에 황록색의 반점이 생기다가 점차 확대되어 잎 전체가 썩게 됩니다.","파 녹병을 방제하기 위해서는 병든 식물을 소각하고, 습도를 낮추기 위해 배수를 잘하고 통풍을 시켜야 합니다. 그리고 질소질 비료를 과용하지 않고 발병 초기 약제를 살포해야 합니다.","파 녹병은 잎에 황록색의 반점이 생기다가 점차 확대되어 잎 전체가 썩게 됩니다. 잎이 썩으면 파의 수확량이 감소하고, 상품가치가 떨어집니다.","티오파네이트-메틸, 벤조비아졸린, 디메토모르프, 클로로타니리혼"
lectuce__downy_mildew,상추,노균병,"상추 노균병은 곰팡이인 Bremia lactucae에 의해 발생하는 병해입니다. 이 곰팡이는 상추의 잎, 줄기, 꽃에 발생하며, 잎에 갈색 또는 검은색의 반점이 생기다가 점차 확대되어 잎 전체가 썩게 됩니다.","상추노균병을 방제하기 위해서는 병든 식물을 소각하고, 습도를 낮추기 위해 배수를 잘하고 통풍을 시켜야 합니다. 그리고 질소질 비료를 과용하지 않고 발병 초기 약제를 살포해야 합니다.","상추 노균병은 잎, 줄기, 꽃에 발생합니다. 잎에 발생하면 잎에 갈색 또는 검은색의 반점이 생기다가 점차 확대되어 잎 전체가 썩게 됩니다. 줄기에 발생하면 줄기가 썩게 됩니다. 꽃에 발생하면 꽃이 시들고 떨어집니다.","티오파네이트-메틸, 벤조비아졸린, 디메토모르프, 클로로타니리혼"
lectuce__drop,상추,균핵병,"상추 균핵병은 곰팡이인 Sclerotinia sclerotiorum에 의해 발생하는 병해입니다. 이 곰팡이는 상추의 뿌리, 줄기, 잎에 발생하며, 뿌리와 줄기가 썩고, 잎이 노랗게 변합니다.","상추균핵병을 방제하기 위해서는 병든 식물을 소각하고, 습도를 낮추기 위해 배수를 잘하고 통풍을 시켜야 합니다. 그리고 질소질 비료를 과용하지 않고 발병 초기 약제를 살포해야 합니다.","상추 균핵병은 뿌리, 줄기, 잎에 발생합니다. 뿌리에 발생하면 뿌리가 썩고, 줄기에 발생하면 줄기가 썩고, 잎에 발생하면 잎이 노랗게 변합니다.","티오파네이트-메틸, 벤조비아졸린, 디메토모르프, 클로로타니리혼"
lectuce__healthy,상추,정상,,,,
pepper__anthracnose,고추,탄저병,"고추 탄저병은 곰팡이인 Colletotrichum capsici에 의해 발생하는 병해입니다. 이 곰팡이는 고추의 잎, 줄기, 열매에 발생하며, 잎에 갈색 또는 검은색의 반점이 생기다가 점차 확대되어 잎 전체가 썩게 됩니다. 줄기에 발생하면 줄기가 썩게 됩니다. 열매에 발생하면 열매가 썩게 됩니다.","고추 탄저병을 방제하기 위해서는 병든 식물을 소각하고, 습도를 낮추기 위해 배수를 잘하고 통풍을 시켜야 합니다. 그리고 질소질 비료를 과용하지 않고 발병 초기 약제를 살포해야 합니다.","고추 탄저병은 잎, 줄기, 열매에 발생합니다. 잎에 발생하면 잎에 갈색 또는 검은색의 반점이 생기다가 점차 확대되어 잎 전체가 썩게 됩니다. 줄기에 발생하면 줄기가 썩게 됩니다. 열매에 발생하면 열매가 썩게 됩니다.","티오파네이트-메틸, 벤조비아졸린, 디메토모르프, 클로로타니리혼"
pepper__healthy,고추,정상,,,,
pepper__powdery_mildew,고추,흰가루병,"고추흰가루병은 곰팡이인 Leveillula taurica에 의해 발생하는 병해입니다. 이 곰팡이는 고추의 잎, 줄기, 열매에 발생하며, 잎에 흰색의 가루가 생기다가 점차 확대되어 잎 전체가 썩게 됩니다. 줄기에 발생하면 줄기가 썩게 됩니다. 열매에 발생하면 열매가 썩게 됩니다.","고추 흰가루병을 방제하기 위해서는 병든 식물을 소각하고, 습도를 낮추기 위해 배수를 잘하고 통풍을 시켜야 합니다. 그리고 질소질 비료를 과용하지 않고 발병 초기 약제를 살포해야 합니다.","고추흰가루병은 잎, 줄기, 열매에 발생합니다. 잎에 발생하면 잎에 흰색의 가루가 생기다가 점차 확대되어 잎 전체가 썩게 됩니다. 줄기에 발생하면 줄기가 썩게 됩니다. 열매에 발생하면 열매가 썩게 됩니다.","티오파네이트-메틸, 벤조비아졸린, 디메토모르프, 클로로타니리혼"
potato__Early_Blight,감자,초기 녹병,"감자초기녹은 곰팡이인 Phytophthora infestans에 의해 발생하는 병해입니다. 이 곰팡이는 감자의 잎, 줄기, 덩이줄기에 발생하며, 잎에 황록색의 반점이 생기다가 점차 확대되어 잎 전체가 썩게 됩니다. 줄기에 발생하면 줄기가 썩게 됩니다. 덩이줄기에 발생하면 덩이줄기가 썩게 됩니다.","감자 초기녹병을 방제하기 위해서는 병든 식물을 소각하고, 습도를 낮추기 위해 배수를 잘하고 통풍을 시켜야 합니다. 그리고 질소질 비료를 과용하지 않고 발병 초기 약제를 살포해야 합니다.","감자초기녹은 잎, 줄기, 괴경에 발생합니다. 잎에 황록색의 반점이 생기다가 점차 확대되어 잎 전체가 썩게 됩니다. 줄기에 발생하면 줄기가 썩게 됩니다. 괴경에 발생하면 괴경이 썩게 됩니다.","티오파네이트-메틸, 벤조비아졸린, 디메토모르프, 클로로타니리혼"
potato__healthy,감자,정상,,,,
potato__late_Blight,감자,감자역병,"감자역병은 곰팡이인 Pectobacterium solanacearum에 의해 발생하는 병해입니다. 이 곰팡이는 감자의 뿌리, 줄기, 괴경에 발생하며, 뿌리가 썩고, 줄기가 썩고, 괴경이 썩게 됩니다.","감자 역병을 방제하기 위해서는 병든 식물을 소각하고, 습도를 낮추기 위해 배수를 잘하고 통풍을 시켜야 합니다. 그리고 질소질 비료를 과용하지 않고 발병 초기 약제를 살포해야 합니다.","감자역병은 뿌리, 줄기, 덩이줄기에 발생합니다. 뿌리에 발생하면 뿌리가 썩고, 줄기에 발생하면 줄기가 썩고, 괴경에 발생하면 덩이줄기에 썩게 됩니다.","티오파네이트-메틸, 벤조비아졸린, 디메토모르프, 클로로타니리혼"
potato__soft_rot,감자,감자무름병,"감자 무름병(soft rot)은 감자에 발생하는 세균성 병해로, Erwinia carotovora var. atroseptica라는 세균에 의해 발생하며, 습도가 높고 온도가 15~25℃인 환경에서 잘 발생합니다","감자 무름병을 해결하기 위해서는 병든 덩이줄기는 제거하여 소각하고,
습도를 낮추기 위해 배수를 잘 하고, 통풍을 시켜야 합니다. 그리고 질소질 비료를 과용하지 않고 발병 초기에 약제를 살포해야합니다.","감자 무름병은 감자 덩이줄기에 발생합니다. 처음에는 작은 갈색 반점이 생기다가 점차 확대되어 괴경 전체가 썩게 됩니다. 괴경이 썩으면 냄새가 나고, 부패한 조직은 물렁물렁해집니다.","마늘즙, 발리다마이신에이"
pumpkin__healthy,호박,정상,,,,
pumpkin__leaf_mold,호박,잎곰팡이병,"호박 잎곰팡이병은 곰팡이인 Pseudoperonospora cubensis에 의해 발생하는 병해입니다. 이 곰팡이는 호박, 오이, 참외 등 박과 작물에 기생하여 피해를 줍니다.","잎곰팡이병을 해결하기 위해서는 병든 식물은 제거하여 소각하고,
습도를 낮추기 위해 배수를 잘 하고, 통풍을 시켜야 합니다. 또한 
질소질 비료를 과용하지 않아야 하고, 발병 초기부터 약재를 사용해야합니다.",호박 잎곰팡이병은 잎에 발생합니다. 처음에는 잎에 작은 갈색 반점이 생기다가 점차 확대되어 잎 전체가 썩게 됩니다. 잎이 썩으면 잎이 마르고 떨어집니다.,"티오파네이트-메틸, 벤조비아졸린, 디메토모르프, 클로로타니리혼"
pumpkin__mosaic,호박,모자이크병,"호박 모자이크병은 바이러스인 Cucumber mosaic virus(CMV)에 의해 발생하는 병해입니다. 이 바이러스는 호박, 오이, 참외 등 박과 작물에 기생하여 피해를 줍니다.","호박 모자이크병을 방제하기 위해서는 병든 식물은 제거하여 소각하고, 습도를 낮추기 위해 배수를 잘 하고, 통풍을 시켜야 합니다. 그리고 질소질 비료를 과용하지 않아야 합니다.","호박 모자이크병은 잎, 줄기, 열매에 발생합니다. 잎에 발생하면 잎에 얼룩이나 띠가 생기고, 잎이 작아지고 뒤틀리게 됩니다. 줄기에 발생하면 줄기가 얇아지고, 열매에 발생하면 열매가 작아지고 모양이 이상하게 됩니다.","칼라민, 클로로타니리혼, 아비가비"
pumpkin__powdery_mildew,호박,흰가루병,"호박 흰가루병은 곰팡이인 Erysiphe cichoracearum에 의해 발생하는 병해입니다. 이 곰팡이는 호박, 오이, 참외 등 박과 작물에 기생하여 피해를 줍니다.","호박 흰가루병을 해결하기 위해서는 병에 강한 품종을 선택하고, 깨끗한 종자를 사용해야 합니다. 그리고 심을 때 멀칭을 합니다. 멀칭이란 작물의 뿌리를 보호하고 토양의 온도와 수분을 유지하기 위해 흙 표면에 유기물이나 무기물을 덮는 방법입니다. 이외에도 정기적으로 잡초를 제거합니다.","호박 흰가루병은 잎, 줄기, 열매에 발생합니다. 잎에 발생하면 처음에는 작은 흰색 반점이 생기다가 점차 확대되어 잎 전체가 하얗게 덮이게 됩니다. 줄기에 발생하면 줄기가 하얗게 덮이게 됩니다. 열매에 발생하면 열매가 하얗게 덮이게 됩니다.","티오파네이트-메틸, 벤조비아졸린, 디메토모르프, 클로로타니리혼"
radish__black_spot,무,검은무늬병,"무 검은무늬병은 곰팡이인 Cercospora beticola에 의해 발생하는 병해입니다. 이 곰팡이는 잎, 줄기, 뿌리에 기생하여 증식하며, 습도가 높고 온도가 15~25℃인 환경에서 잘 발생합니다.","무 검은무늬병을 치료하기 위해서는 병든 식물은 제거하여 소각하고, 습도를 낮추기 위해 배수를 잘 하고, 통풍을 시켜야 합니다. 그리고 질소질 비료를 과용하지 않고, 발병 초기에 약제를 살포해야 합니다.","무 검은무늬병은 잎에 처음에는 작은 흑갈색 반점이 생기다가 점차 확대되어 잎 전체가 마르게 됩니다. 줄기에도 흑갈색 반점이 생기고, 심하면 줄기가 썩게 됩니다. 뿌리에는 흑갈색 반점이 생기고, 심하면 뿌리가 썩게 됩니다.","카벤다짐, 디메토모르프,
메타라크실"
radish__downy_mildew,무,노균병,"무 노균병은 곰팡이인 Phytophthora capsici에 의해 발생합니다. 이 곰팡이는 흙 속에 서식하며, 빗물이나 물방울을 통해 무의 잎, 줄기, 뿌리에 전파됩니다. 습도가 높고 온도가 20~25℃인 환경에서 잘 발생합니다.","무 노균병을 치료하기 위해서는 병든 식물은 제거하여 소각하고, 습도를 낮추기 위해 배수를 잘 하고, 통풍을 시켜야 합니다. 그리고 질소질 비료를 과용하지 않고, 발병 초기에 약제를 살포해야 합니다.","무 노균병은 잎, 줄기, 뿌리에 발생합니다. 잎에 발생하면 처음에는 작은 암갈색 반점이 생기다가 점차 확대되어 잎 전체가 마르게 됩니다. 줄기에 발생하면 줄기가 갈색으로 변하고 썩게 됩니다. 뿌리에 발생하면 뿌리가 갈색으로 변하고 썩게 됩니다.","만코지브(Mancozeb), 벤조비아지움(Benomyl), 티오파네트-메틸(Thiophanate-methyl)"
radish_healthy,무,정상,,,,
